race_id,race_date,track,distance_f,going,race_class,field_size,horse_id,jockey_id,trainer_id,age,weight_carried,barrier,finish_position,win,place,sp_odds
1,2021-01-01,Newmarket,8,Soft,5,9,656,56,18,4,8.6,1,7,0,0,192.03
1,2021-01-01,Newmarket,8,Soft,5,9,205,4,59,3,10.0,2,5,0,0,101.55
1,2021-01-01,Newmarket,8,Soft,5,9,204,43,77,4,8.5,3,1,1,1,1.66
1,2021-01-01,Newmarket,8,Soft,5,9,176,28,21,6,9.9,4,2,0,1,3.9
1,2021-01-01,Newmarket,8,Soft,5,9,522,3,68,3,8.0,5,3,0,1,6.5
1,2021-01-01,Newmarket,8,Soft,5,9,401,52,49,3,8.9,6,8,0,0,245.31
1,2021-01-01,Newmarket,8,Soft,5,9,654,19,32,4,8.4,7,6,0,0,116.83
1,2021-01-01,Newmarket,8,Soft,5,9,239,29,49,5,9.5,8,9,0,0,534.88
1,2021-01-01,Newmarket,8,Soft,5,9,789,53,2,3,9.7,9,4,0,0,9.39
2,2021-01-01,Cheltenham,12,Firm,6,12,224,35,44,3,8.3,1,8,0,0,370.15
2,2021-01-01,Cheltenham,12,Firm,6,12,394,11,77,4,8.3,2,7,0,0,91.53
2,2021-01-01,Cheltenham,12,Firm,6,12,741,2,17,6,9.6,3,11,0,0,1376.22
2,2021-01-01,Cheltenham,12,Firm,6,12,115,43,67,5,9.6,4,9,0,0,763.55
2,2021-01-01,Cheltenham,12,Firm,6,12,24,1,11,5,8.4,5,4,0,0,17.71
2,2021-01-01,Cheltenham,12,Firm,6,12,15,10,46,5,8.5,6,12,0,0,28816.81
2,2021-01-01,Cheltenham,12,Firm,6,12,717,27,19,6,9.4,7,2,0,1,7.52
2,2021-01-01,Cheltenham,12,Firm,6,12,323,39,3,2,9.7,8,6,0,0,29.34
2,2021-01-01,Cheltenham,12,Firm,6,12,751,34,49,3,8.7,9,10,0,0,807.25
2,2021-01-01,Cheltenham,12,Firm,6,12,484,22,72,2,8.9,10,1,1,1,1.33
2,2021-01-01,Cheltenham,12,Firm,6,12,581,40,61,6,9.9,11,5,0,0,22.88
